index,pop_F,pop_M,pop_MF,hholds,fullname
899,2760,2492,5252,2364,ทต.สากเหล็ก
900,3683,3341,7024,2904,ทต.สามกอ
901,2551,2242,4793,2257,ทต.สามง่าม
902,7239,6674,13913,4830,ทต.สามง่าม
903,699,649,1348,471,ทต.สามง่ามท่าโบสถ์
904,6809,6079,12888,6747,ทต.สามชุก
905,4542,4468,9010,2369,ทต.สามัคคีพัฒนา
906,2419,2182,4601,2085,ทต.สามเงา
907,3742,3640,7382,2819,ทต.สามเมือง
908,1987,1903,3890,2204,ทต.สามแยก
909,5606,5080,10686,3504,ทต.สามโก้
910,3775,3367,7142,2667,ทต.สารภี
911,9217,8950,18167,5624,ทต.สาวะถี
912,7415,6331,13746,9249,ทต.สำนักขาม
913,1116,1099,2215,886,ทต.สำนักขุนเณร
914,5711,5540,11251,5898,ทต.สำนักท้อน
915,942,901,1843,629,ทต.สำรอง
916,1197,1159,2356,1248,ทต.สำโรงทาบ
917,16611,14022,30633,29943,ทต.สำโรงเหนือ
918,6333,6343,12676,3711,ทต.สำโรงใหม่
919,3590,3368,6958,3978,ทต.สิชล
920,2236,2351,4587,1580,ทต.สิริราช
921,740,687,1427,661,ทต.สิเกา
922,1725,1668,3393,1539,ทต.สีชมพู
923,1838,1791,3629,1425,ทต.สีดา
924,4494,4471,8965,4221,ทต.สีมามงคล
925,1688,1783,3471,1569,ทต.สุคิริน
926,7838,7148,14986,9995,ทต.สุนทรภู่
927,3976,3813,7789,2825,ทต.สุวรรณคูหา
928,4782,4289,9071,4199,ทต.สุวรรณภูมิ
929,8631,8477,17108,11293,ทต.สุเทพ
930,5234,4627,9861,6217,ทต.สูงเนิน
931,2039,1751,3790,1896,ทต.สูงเม่น
932,2467,2468,4935,1551,ทต.ส่องดาว
933,3461,3287,6748,2730,ทต.หงส์หิน
934,1284,1205,2489,1093,ทต.หงาว
935,2117,1957,4074,1336,ทต.หนองกราด
936,5081,4753,9834,4111,ทต.หนองกี่
937,4512,4406,8918,3380,ทต.หนองกุงศรี
938,2673,2416,5089,1608,ทต.หนองขาว
939,311,281,592,326,ทต.หนองขาหย่าง
940,1994,1783,3777,2141,ทต.หนองคล้า
941,1452,1284,2736,1001,ทต.หนองจอก
942,3149,3143,6292,1982,ทต.หนองจิก
943,9319,7792,17111,9153,ทต.หนองจ๊อม
944,1472,1303,2775,1888,ทต.หนองฉาง
945,4501,3932,8433,3521,ทต.หนองตองพัฒนา
946,1541,1471,3012,949,ทต.หนองตากยา
947,4852,5114,9966,3981,ทต.หนองตาคง
948,10661,10433,21094,16219,ทต.หนองตำลึง
949,3984,3736,7720,2191,ทต.หนองตูม
950,6629,6638,13267,4973,ทต.หนองน้ำใส
951,3700,3801,7501,3911,ทต.หนองบอน
952,1211,1064,2275,971,ทต.หนองบัว
953,17220,15923,33143,15723,ทต.หนองบัว
954,6082,5555,11637,4981,ทต.หนองบัว
955,3407,3062,6469,2908,ทต.หนองบัว
956,4512,4269,8781,2640,ทต.หนองบัวตะเกียด
957,2980,2931,5911,2599,ทต.หนองบัวระเหว
958,1241,1229,2470,855,ทต.หนองบัวลาย
959,2335,2288,4623,1814,ทต.หนองบัววง
960,4514,4358,8872,4207,ทต.หนองบัวแดง
961,1013,986,1999,782,ทต.หนองบัวโคก
962,2276,2161,4437,1743,ทต.หนองปรือ
963,1734,1676,3410,1142,ทต.หนองปล้อง
964,3948,3375,7323,6035,ทต.หนองป่าครั่ง
965,8380,7200,15580,8718,ทต.หนองผึ้ง
966,5070,4866,9936,3348,ทต.หนองผือ
967,1142,1070,2212,957,ทต.หนองฝ้าย
968,3466,3329,6795,2290,ทต.หนองพยอม
969,2450,2264,4714,2828,ทต.หนองพลับ
970,3335,3169,6504,2623,ทต.หนองพอก
971,2600,2442,5042,2134,ทต.หนองม่วง
972,2402,2071,4473,1880,ทต.หนองม่วงไข่
973,1924,1766,3690,1793,ทต.หนองยวง
974,1100,1031,2131,789,ทต.หนองรี
975,2902,2714,5616,2513,ทต.หนองล่อง
976,4943,4705,9648,2845,ทต.หนองวัวซอ
977,1138,1008,2146,668,ทต.หนองสระ
978,3770,3510,7280,2240,ทต.หนองสอ
979,2671,2648,5319,2051,ทต.หนองสองห้อง
980,2978,2912,5890,2737,ทต.หนองสองห้อง
981,1924,1728,3652,1197,ทต.หนองสาหร่าย
982,2376,2372,4748,1715,ทต.หนองหงส์
983,1320,1219,2539,1085,ทต.หนองหญ้าไซ
984,856,818,1674,494,ทต.หนองหมู
985,4102,4072,8174,2014,ทต.หนองหว้า
986,4267,3544,7811,5443,ทต.หนองหอย
987,2287,2263,4550,1405,ทต.หนองหัวฟาน
988,2228,2020,4248,1868,ทต.หนองหาน
989,2259,2190,4449,2006,ทต.หนองหิน
990,2714,2645,5359,1596,ทต.หนองหิน
991,1615,1345,2960,1495,ทต.หนองเบน
992,4139,4108,8247,2230,ทต.หนองเม็ก
993,2136,2157,4293,2133,ทต.หนองเรือ
994,1571,1465,3036,1870,ทต.หนองเสือ
995,718,717,1435,690,ทต.หนองแก
996,6413,5988,12401,6325,ทต.หนองแค
997,3963,3801,7764,2733,ทต.หนองแซง
998,1484,1366,2850,1014,ทต.หนองแซง
999,3521,3250,6771,2146,ทต.หนองแปน
1000,8322,8485,16807,4175,ทต.หนองแวง
1001,1274,1140,2414,1033,ทต.หนองโดน
1002,2067,1837,3904,2156,ทต.หนองโพ
1003,4167,4342,8509,3367,ทต.หนองใหญ่
1004,3070,3094,6164,1802,ทต.หนองไข่น้ำ
1005,9528,8746,18274,5400,ทต.หนองไผ่
1006,3849,3520,7369,3836,ทต.หนองไผ่
1007,4668,11245,15913,11289,ทต.หนองไผ่ล้อม
1008,1207,1115,2322,1571,ทต.หนองไผ่แก้ว
1009,5035,5064,10099,2880,ทต.หนองไม้งาม
1010,6351,6776,13127,11074,ทต.หนองไม้แดง
1011,3944,3977,7921,3292,ทต.หน้าพระลาน
1012,4164,4142,8306,2902,ทต.หน้าสตน
1013,7049,6594,13643,4432,ทต.หมอนนาง
1014,6676,6599,13275,11414,ทต.หมูสี
1015,2193,1972,4165,2320,ทต.หลวงเหนือ
1016,21555,20329,41884,10326,ทต.หลักห้า
1017,8047,9487,17534,6990,ทต.หลักเมือง
1018,2607,2517,5124,1742,ทต.หลุมดิน
1019,3129,2799,5928,2624,ทต.หล่มเก่า
1020,2224,2070,4294,1836,ทต.หวายเหนียว
1021,3606,3640,7246,2304,ทต.หอคำ
1022,632,650,1282,327,ทต.หอมศีล
1023,3019,2884,5903,2671,ทต.หอไกร
1024,2185,1934,4119,2413,ทต.หันคา
1025,2009,1817,3826,2080,ทต.หัวกุญแจ
1026,4221,4009,8230,2604,ทต.หัวช้าง
1027,2840,2689,5529,2133,ทต.หัวดง
1028,1626,1544,3170,1174,ทต.หัวดง
1029,3465,3318,6783,2166,ทต.หัวตะพาน
1030,14508,13232,27740,13551,ทต.หัวทะเล
1031,6698,6586,13284,3512,ทต.หัวนา
1032,1795,1835,3630,1031,ทต.หัวนา
1033,5585,5774,11359,3153,ทต.หัวนาคำ
1034,6536,6252,12788,3710,ทต.หัวนาคำ
1035,3120,2838,5958,1993,ทต.หัวสะพาน
1036,3426,3275,6701,3884,ทต.หัวสำโรง
1037,3078,2871,5949,1800,ทต.หัวเวียง
1038,2188,2027,4215,1832,ทต.หัวไทร
1039,3925,3344,7269,3813,ทต.หางดง
1040,3170,2952,6122,3069,ทต.หางน้ำสาคร
1041,3868,3661,7529,2626,ทต.หาดกรวด
1042,4754,4601,9355,2931,ทต.หาดคำ
1043,2591,2461,5052,1782,ทต.หาดท่าเสา
1044,2567,2366,4933,2513,ทต.หาดเจ้าสำราญ
1045,2605,2746,5351,1967,ทต.หาดเล็ก
1046,3499,3090,6589,3584,ทต.หาดเสี้ยว
1047,5092,4949,10041,3472,ทต.หารเทา
1048,4981,4426,9407,5566,ทต.หินกอง
1049,1389,1410,2799,765,ทต.หินดาด
1050,4172,4171,8343,2724,ทต.หินตก
1051,2550,2506,5056,1803,ทต.หินเหล็กไฟ
1052,874,822,1696,729,ทต.ห้วยกระบอก
1053,8699,7696,16395,10120,ทต.ห้วยกะปิ
1054,1634,1551,3185,973,ทต.ห้วยขะยุง
1055,4281,3960,8241,4133,ทต.ห้วยข้าวก่ำ
1056,5890,5454,11344,4284,ทต.ห้วยชินสีห์
1057,6204,6212,12416,5237,ทต.ห้วยซ้อ
1058,1630,1698,3328,1053,ทต.ห้วยทับทัน
1059,2942,2827,5769,2243,ทต.ห้วยผึ้ง
1060,1155,1030,2185,890,ทต.ห้วยพลู
1061,4320,3932,8252,4110,ทต.ห้วยยอด
1062,7702,7760,15462,4582,ทต.ห้วยยาง
1063,2579,2515,5094,1382,ทต.ห้วยราช
1064,4645,4270,8915,3275,ทต.ห้วยลาน
1065,4890,4852,9742,2569,ทต.ห้วยหิน
1066,2586,2274,4860,2218,ทต.ห้วยอ้อ
1067,2700,2608,5308,1684,ทต.ห้วยเกิ้ง
1068,2912,2789,5701,2171,ทต.ห้วยเม็ก
1069,1664,1513,3177,1605,ทต.ห้วยแถลง
1070,5946,5857,11803,3378,ทต.ห้วยโพธิ์
1071,16181,14472,30653,17569,ทต.ห้วยใหญ่
1072,2705,2331,5036,2501,ทต.ห้วยไคร้
1073,1532,1251,2783,1288,ทต.ห้างฉัตร
1074,1366,1272,2638,1296,ทต.องครักษ์
1075,526,552,1078,825,ทต.อมก๋อย
1076,4040,3745,7785,2810,ทต.อรัญญิก
1077,4075,4100,8175,2105,ทต.อัคคะคำ
1078,2471,2260,4731,1961,ทต.อัมพวา
1079,4605,4379,8984,3026,ทต.อากาศอำนวย
1080,2059,1960,4019,1769,ทต.อาจสามารถ
1081,1138,989,2127,959,ทต.อำนาจ
1082,4430,4331,8761,2495,ทต.อิตื้อ
1083,2388,2169,4557,2278,ทต.อินทร์บุรี
1084,11070,10046,21116,12564,ทต.อิสาณ
1085,3523,3097,6620,4077,ทต.อุทัย
1086,3123,2657,5780,3098,ทต.อุบล
1087,6855,6027,12882,5915,ทต.อุโมงค์
1088,3720,3596,7316,2013,ทต.อุ่มเม้า
1089,1794,1912,3706,898,ทต.อุ้มผาง
1090,3996,3575,7571,3662,ทต.อู่ทอง
1091,1618,1491,3109,1006,ทต.อ่างศิลา
1092,2372,2278,4650,1634,ทต.อ่าวพะยูน
1093,2954,2711,5665,2915,ทต.อ่าวลึกใต้
1094,12673,11600,24273,21722,ทต.อ้อมใหญ่
1095,5316,7486,12802,6346,ทต.เกล็ดแก้ว
1096,2437,2093,4530,2149,ทต.เกวียนหัก
1097,2641,2451,5092,1564,ทต.เกษตรพัฒนา
1098,5658,5320,10978,4820,ทต.เกษตรวิสัย
1099,1552,1404,2956,1313,ทต.เกษตรสมบูรณ์
1100,1413,1380,2793,949,ทต.เกษไชโย
1101,1123,1040,2163,1090,ทต.เกาะขนุน
1102,8712,7930,16642,7979,ทต.เกาะขวาง
1103,2432,2114,4546,2337,ทต.เกาะคา
1104,1840,3387,5227,1798,ทต.เกาะจันทร์
1105,3759,3706,7465,5471,ทต.เกาะพะงัน
1106,424,409,833,495,ทต.เกาะยาว
1107,602,570,1172,497,ทต.เกาะลันตาใหญ่
1108,2268,2226,4494,2187,ทต.เกาะสีชัง
1109,956,850,1806,748,ทต.เกาะหวาย
1110,3385,3487,6872,2121,ทต.เกาะเพชร
1111,5924,5558,11482,3773,ทต.เกาะแต้ว
1112,3000,2766,5766,2293,ทต.เก้าเลี้ยว
1113,21854,33130,54984,26594,ทต.เขตรอุดมศักดิ์
1114,3103,2882,5985,2486,ทต.เขมราฐ
1115,3771,3503,7274,2604,ทต.เขาขวาง
1116,4777,4405,9182,2844,ทต.เขางู
1117,2446,2396,4842,2309,ทต.เขาฉกรรจ์
1118,1861,1669,3530,1597,ทต.เขาชัยสน
1119,2237,2104,4341,1355,ทต.เขาชุมทอง
1120,3105,2955,6060,2079,ทต.เขาดิน
1121,2201,2155,4356,1890,ทต.เขาทราย
1122,3312,3254,6566,2759,ทต.เขานิพันธ์
1123,3253,2988,6241,2369,ทต.เขาบางแกรก
1124,3209,3100,6309,2504,ทต.เขาบายศรี
1125,2988,2764,5752,2468,ทต.เขาพนม
1126,3026,2610,5636,3229,ทต.เขาพระ
1127,4091,4097,8188,3337,ทต.เขาพระ
1128,9267,16029,25296,11806,ทต.เขาพระงาม
1129,8049,7290,15339,8081,ทต.เขาย้อย
1130,705,719,1424,614,ทต.เขาสมิง
1131,5441,5384,10825,3633,ทต.เขาสวนกวาง
1132,3585,3561,7146,2142,ทต.เขาหัวช้าง
1133,1793,1729,3522,2587,ทต.เขาหินซ้อน
1134,3862,3927,7789,2148,ทต.เขาแก้ว
1135,2332,2215,4547,2053,ทต.เขื่องใน
1136,2136,2349,4485,2000,ทต.เขื่อนบางลาง
1137,2079,2010,4089,2075,ทต.เขื่อนอุบลรัตน์
1138,838,868,1706,741,ทต.เคียนซา
1139,2436,2384,4820,2102,ทต.เจดีย์หลวง
1140,4227,3839,8066,3862,ทต.เจดีย์แม่ครัว
1141,3499,3360,6859,2249,ทต.เจริญศิลป์
1142,3021,2748,5769,2219,ทต.เจ็ดเสมียน
1143,5548,5200,10748,3165,ทต.เจ้าเจ็ด
1144,2023,2016,4039,997,ทต.เจ๊ะบิลัง
1145,3779,3773,7552,2556,ทต.เฉลียงทอง
1146,4028,3692,7720,3617,ทต.เชิงดอย
1147,3806,3064,6870,3661,ทต.เชิงทะเล
1148,2605,2567,5172,1609,ทต.เชียงกลม
1149,4926,4730,9656,3909,ทต.เชียงกลาง
1150,2681,2486,5167,2751,ทต.เชียงคาน
1151,3389,2823,6212,3667,ทต.เชียงคำ
1152,2105,1869,3974,2300,ทต.เชียงดาว
1153,4355,4324,8679,3845,ทต.เชียงม่วน
1154,2404,2283,4687,2371,ทต.เชียงยืน
1155,5229,4895,10124,4340,ทต.เชียงรากน้อย
1156,8935,8308,17243,5974,ทต.เชียงเครือ
1157,2007,1992,3999,1162,ทต.เชียงเพ็ง
1158,4160,4063,8223,2404,ทต.เชียงใหม่
1159,818,804,1622,748,ทต.เชียรใหญ่
1160,3615,3155,6770,2798,ทต.เดิมบาง
1161,5822,5247,11069,5144,ทต.เด่นชัย
1162,4760,4496,9256,4982,ทต.เทพกระษัตรี
1163,10289,9753,20042,8332,ทต.เทพนคร
1164,2179,2095,4274,1259,ทต.เทพราช
1165,5926,6007,11933,4039,ทต.เทพวงศา
1166,1926,1916,3842,2261,ทต.เทพสถิต
1167,1200,1150,2350,1056,ทต.เทพา
1168,1453,1349,2802,839,ทต.เทพาลัย
1169,6161,5844,12005,4505,ทต.เนินกุ่ม
1170,3133,2851,5984,2622,ทต.เนินขาม
1171,2362,2237,4599,1925,ทต.เนินฆ้อ
1172,4538,4531,9069,3069,ทต.เนินปอ
1173,3531,3273,6804,2981,ทต.เนินมะกอก
1174,1780,1670,3450,1583,ทต.เนินมะปราง
1175,974,904,1878,1248,ทต.เนินสันติ
1176,1585,1444,3029,1646,ทต.เนินสูง
1177,8514,7559,16073,6524,ทต.เบิกไพร
1178,3027,2875,5902,1976,ทต.เปือยน้อย
1179,5478,5464,10942,3989,ทต.เฝ้าไร่
1180,1403,1382,2785,1578,ทต.เพ็ญ
1181,1130,1005,2135,991,ทต.เมืองการุ้ง
1182,2247,2122,4369,2167,ทต.เมืองขุขันธ์
1183,1157,1071,2228,995,ทต.เมืองคง
1184,2038,1946,3984,2101,ทต.เมืองคง
1185,2031,1795,3826,1931,ทต.เมืองงาย
1186,945,960,1905,559,ทต.เมืองที
1187,19024,18324,37348,9198,ทต.เมืองนะ
1188,4325,4133,8458,2766,ทต.เมืองบัว
1189,3473,3024,6497,3500,ทต.เมืองพาน
1190,4095,4036,8131,2287,ทต.เมืองยาง
1191,2580,2519,5099,1865,ทต.เมืองรามันห์
1192,3146,3015,6161,3367,ทต.เมืองศรีไค
1193,4792,4710,9502,2827,ทต.เมืองสรวง
1194,3352,3232,6584,4423,ทต.เมืองเก่า
1195,3829,3339,7168,2581,ทต.เมืองเก่า
1196,16505,14491,30996,17037,ทต.เมืองเก่า
1197,9793,8879,18672,11600,ทต.เมืองแกลง
1198,3087,3163,6250,1578,ทต.เมืองไพร
1199,2386,2117,4503,1691,ทต.เรณูนคร
1200,1318,1311,2629,1300,ทต.เลาขวัญ
1201,1529,1435,2964,1083,ทต.เลิงนกทา
1202,2835,2649,5484,2259,ทต.เวียง
1203,4837,4709,9546,4198,ทต.เวียง
1204,5283,5207,10490,3190,ทต.เวียงคำ
1205,3111,2867,5978,1888,ทต.เวียงคุก
1206,3614,3176,6790,3077,ทต.เวียงชัย
1207,3151,3208,6359,2435,ทต.เวียงต้า
1208,2466,2081,4547,2386,ทต.เวียงป่าเป้า
1209,4481,4098,8579,3937,ทต.เวียงฝาง
1210,2587,2234,4821,2810,ทต.เวียงพร้าว
1211,11934,10359,22293,9670,ทต.เวียงพางคำ
1212,5163,5114,10277,3493,ทต.เวียงมอก
1213,3616,3140,6756,3329,ทต.เวียงยอง
1214,3196,2987,6183,2656,ทต.เวียงลอ
1215,4960,4481,9441,5762,ทต.เวียงสระ
1216,1545,1317,2862,1295,ทต.เวียงสา
1217,2027,1792,3819,2342,ทต.เวียงเชียงของ
1218,3452,3045,6497,3326,ทต.เวียงเชียงแสน
1219,2708,2337,5045,2744,ทต.เวียงเทิง
1220,2967,2796,5763,1950,ทต.เสนางคนิคม
1221,12377,10174,22551,17440,ทต.เสม็ด
1222,4198,4133,8331,2996,ทต.เสริมงาม
1223,6734,6315,13049,4975,ทต.เสลภูมิ
1224,21586,17988,39574,26509,ทต.เสาธงหิน
1225,1622,1500,3122,1441,ทต.เสาไห้
1226,3961,3688,7649,3158,ทต.เสิงสาง
1227,3873,3646,7519,2430,ทต.เสือโฮก
1228,2227,2065,4292,2412,ทต.เหนือคลอง
1229,8631,7235,15866,8194,ทต.เหมืองง่า
1230,1019,955,1974,773,ทต.เหมืองใหม่
1231,488,472,960,723,ทต.เอราวัณ
1232,2670,2674,5344,1575,ทต.แกดำ
1233,3683,3417,7100,3279,ทต.แกลงกะเฉด
1234,3384,2951,6335,3758,ทต.แก่งเสี้ยน
1235,1346,1289,2635,1050,ทต.แก่งเสือเต้น
1236,4538,4088,8626,4508,ทต.แก้งคร้อ
1237,2764,2753,5517,1885,ทต.แคนดง
1238,2794,2626,5420,3037,ทต.แคมป์สน
1239,1835,1673,3508,1670,ทต.แจ้ห่ม
1240,3247,2845,6092,3006,ทต.แชะ
1241,3140,2985,6125,3465,ทต.แปลงยาว
1242,1346,1162,2508,1353,ทต.แพรกศรีราชา
1243,14243,12597,26840,15544,ทต.แพรกษา
1244,6871,6249,13120,6743,ทต.แม่กา
1245,3302,3202,6504,2861,ทต.แม่กุ
1246,3244,2995,6239,3398,ทต.แม่ขรี
1247,1557,1369,2926,1579,ทต.แม่ขะจาน
1248,2417,2161,4578,2153,ทต.แม่คำ
1249,3681,3531,7212,2706,ทต.แม่คำมี
1250,2721,2590,5311,2153,ทต.แม่จะเรา
1251,1954,1704,3658,2420,ทต.แม่จัน
1252,1968,1821,3789,1556,ทต.แม่จั๊วะ
1253,1803,1655,3458,1349,ทต.แม่ตืน
1254,1936,1896,3832,1377,ทต.แม่ต้าน
1255,3332,3255,6587,2955,ทต.แม่ทะ
1256,3090,3046,6136,2605,ทต.แม่ปั๋ง
1257,1445,1482,2927,1140,ทต.แม่ปาน
1258,4619,4435,9054,3400,ทต.แม่ปืม
1259,2025,1844,3869,1333,ทต.แม่ปุ
1260,1349,1256,2605,1111,ทต.แม่พริก
1261,10927,10700,21627,8977,ทต.แม่ยาว
1262,2000,1991,3991,1846,ทต.แม่ระมาด
1263,5032,4416,9448,5752,ทต.แม่ริม
1264,3347,3195,6542,2615,ทต.แม่ลานนา
1265,1818,1797,3615,1778,ทต.แม่ลาน้อย
1266,958,858,1816,803,ทต.แม่ลาว
1267,2427,2152,4579,2186,ทต.แม่วาง
1268,764,718,1482,1093,ทต.แม่สรวย
1269,1505,1346,2851,1945,ทต.แม่สะเรียง
1270,15125,13196,28321,13624,ทต.แม่สาย
1271,2371,2047,4418,1965,ทต.แม่หล่าย
1272,5481,5153,10634,4853,ทต.แม่อาย
1273,7837,7562,15399,8627,ทต.แม่เมาะ
1274,1331,1296,2627,1606,ทต.แม่แจ่ม
1275,4806,4255,9061,3889,ทต.แม่แฝก
1276,3681,3405,7086,2886,ทต.แม่แรง
1277,2618,2388,5006,2152,ทต.แม่ใจ
1278,2891,2709,5600,2178,ทต.แวงน่าง
1279,1604,1468,3072,1303,ทต.แวงน้อย
1280,2661,2481,5142,1744,ทต.แวงใหญ่
1281,2741,2611,5352,1665,ทต.แว้ง
1282,2003,2013,4016,968,ทต.แสงสว่าง
1283,1640,1605,3245,2354,ทต.แสนตุ้ง
1284,11111,13626,24737,10917,ทต.แสนสุข
1285,1655,1595,3250,1258,ทต.แสวงหา
1286,925,886,1811,718,ทต.แหลมงอบ
1287,10960,10349,21309,9008,ทต.แหลมฟ้าผ่า
1288,2046,2069,4115,1233,ทต.แหลมสัก
1289,2978,2899,5877,1539,ทต.โกตาบารู
1290,1191,1094,2285,997,ทต.โกรกพระ
1291,4817,4409,9226,4204,ทต.โกสุมพิสัย
1292,3792,3350,7142,4376,ทต.โคกกรวด
1293,1838,1697,3535,1710,ทต.โคกกลอย
1294,813,724,1537,862,ทต.โคกคราม
1295,14975,14596,29571,11496,ทต.โคกตูม
1296,3088,2804,5892,2308,ทต.โคกปีบ
1297,1788,1628,3416,1459,ทต.โคกพระ
1298,1145,1040,2185,813,ทต.โคกมะกอก
1299,3494,4219,7713,2734,ทต.โคกม่วง
1300,5272,5114,10386,3623,ทต.โคกม่วง
1301,3728,3675,7403,2063,ทต.โคกล่าม
1302,1622,1553,3175,1261,ทต.โคกศรี
1303,2715,2582,5297,1773,ทต.โคกสวาย
1304,3294,3257,6551,2165,ทต.โคกสะอาด
1305,3047,2798,5845,2434,ทต.โคกสำโรง
1306,4338,4536,8874,2418,ทต.โคกสูง
1307,2306,2071,4377,1301,ทต.โคกสูงสัมพันธ์
1308,1763,1593,3356,1790,ทต.โคกโพธิ์
1309,6659,6037,12696,5507,ทต.โชคชัย
1310,3311,3304,6615,2558,ทต.โซ่พิสัย
1311,4856,4689,9545,3576,ทต.โนนดินแดง
1312,2603,2624,5227,1423,ทต.โนนตาล
1313,4977,4842,9819,3104,ทต.โนนท่อน
1314,2725,2498,5223,1976,ทต.โนนบุรี
1315,5542,5583,11125,3460,ทต.โนนปอแดง
1316,2775,2825,5600,1781,ทต.โนนศิลา
1317,2938,2911,5849,1810,ทต.โนนสมบูรณ์
1318,2976,2949,5925,1759,ทต.โนนสมบูรณ์
1319,3492,3414,6906,2342,ทต.โนนสว่าง
1320,2284,2205,4489,1738,ทต.โนนสะอาด
1321,4277,4145,8422,2768,ทต.โนนสัง
1322,1691,1628,3319,1065,ทต.โนนสุวรรณ
1323,5016,4633,9649,3967,ทต.โนนสูง
1324,2473,2274,4747,2603,ทต.โนนสูงเปลือย
1325,2457,2224,4681,1525,ทต.โนนหัน
1326,2214,2104,4318,1561,ทต.โนนแดง
1327,1664,1455,3119,1374,ทต.โนนไทย
1328,5488,5044,10532,6330,ทต.โป่ง
1329,4203,4908,9111,4209,ทต.โป่งน้ำร้อน
1330,1282,1212,2494,1015,ทต.โพทะเล
1331,4575,4623,9198,2048,ทต.โพธิ์กระสังข์
1332,13917,15391,29308,13214,ทต.โพธิ์กลาง
1333,3982,3718,7700,3710,ทต.โพธิ์ชัย
1334,3386,3356,6742,1723,ทต.โพธิ์ชัย
1335,2261,2012,4273,1829,ทต.โพธิ์ทอง
